Brett Buchanan<>2<>46<>TE<>225<>SO<>Encinitas, CA (San Diego/Sante Fe Christian HS)
Benjamin Calder<>2<>36<>PK<>200<>RS FR<>Houston, TX (Lamar HS/Westbury Christian HS)
Dan Camporeale<>2<>43<>LB<>247<>JR<>Lafayette, CA (Acalanes HS)
Austin Clark<>2<>54<>DL<>275<>JR<>Tampa, FL (Plant HS)
Matt Cochran<>2<>74<>OL<>345<>FR<>Atwater, CA (Buhach Colony HS)
Deandre Coleman<>2<>91<>DL<>309<>JR<>Seattle, WA (Garfield HS)
Idarre Coles<>2<>83<>WR<>170<>SO<>Visalia, CA (Redwood HS)
Jeffrey Coprich<>2<>30<>DB<>170<>FR<>Stevenson Ranch, CA (West Ranch HS/Golden Valley HS)
Alejandro Crosthwaite<>2<>71<>OL<>300<>SO<>Rosarito Beach, Mexico (Cathedral Catholic HS)
Vincenzo D'Amato<>2<>13<>PK<>200<>JR<>Lake Forest, CA (El Toro HS)
Antione Davis<>2<>24<>DL<>220<>SO<>El Sobrante, CA (Contra Costa College/Pinole Valley HS)
Jake Davis<>2<>82<>TE<>220<>JR<>King City, CA (Monterey Peninsula College/King City HS)
Cedric Dozier<>2<>7<>DB<>175<>FR<>Roanoke, AL (Lakes HS)
Damariay Drew<>2<>27<>DB<>200<>FR<>Livermore, CA (Livermore HS)
Tyré Ellison<>2<>31<>DB<>200<>SR<>San Francisco, CA (Burton HS)
Darren Ervin<>2<>30<>TB<>197<>RS FR<>Houston, TX (Lamar HS)
Maximo Espitia<>2<>19<>TE<>220<>FR<>Salem, OR (South Salem HS)
Dan Fadelli<>2<>33<>DB<>191<>FR<>Moraga, CA (Campolindo HS)
Brian Farley<>2<>59<>OL<>291<>RS FR<>San Diego, CA (Patrick Henry HS)
Nick Forbes<>2<>11<>LB<>236<>SO<>Frederick, MD (Governor Thomas Johnson HS)
Khairi Fortt<>2<>13<>LB<>238<>JR<>Stamford, CT (Stamford HS)
Donovan Frazer<>2<>61<>OL<>285<>JR<>Martinez, CA (Laney College/Alhambra HS)
Dominic Galas<>2<>65<>OL<>290<>SR<>Modesto, CA (Central Catholic HS)
Geoffrey Gibson<>2<>70<>OL<>315<>SO<>Las Vegas, NV (Bishop Gorman HS)
Jason Gibson<>2<>9<>LB<>225<>RS FR<>Gardena, CA (Junipero Serra HS)
Lucus Gingold<>2<>44<>FB<>237<>JR<>Clovis, CA (Reedley College/San Diego/Buchanan HS)
James Grisom<>2<>85<>WR<>180<>SO<>Lynwood, CA (Lynwood HS)
Spencer Hagan<>2<>87<>TE<>235<>JR<>Sacramento, CA (Capital Christian HS)
Chris Harper<>2<>6<>WR<>170<>FR<>Encino, CA (Crespi HS)
Maurice Harris<>2<>3<>WR<>205<>RS FR<>Greensboro, NC (Northern Guilford HS)
Josh Hill<>2<>23<>DB<>203<>SR<>Houston, TX (Klein Forest HS)
Austin Hinder<>2<>7<>QB<>200<>SO<>Steamboat Springs, CO (Steamboat Springs HS)
Jonah Hodges<>2<>31<>TB<>175<>FR<>Santa Cruz, CA (Santa Cruz HS)
JP Hurrell<>2<>34<>LB<>230<>SR<>San Mateo, CA (Junipero Serra HS)
Kameron Jackson<>2<>3<>DB<>185<>SO<>Long Beach, CA (Long Beach Poly HS)
Mustafa Jalil<>2<>90<>DL<>280<>SO<>San Diego, CA (Cathedral Catholic HS)
Jalen Jefferson<>2<>7<>LB<>225<>RS FR<>Ventura, CA (St. Bonaventure HS)
Keni Kaufusi<>2<>56<>DL<>280<>JR<>Salt Lake City, UT (Cottonwood HS)
Brendan Keeney<>2<>14<>QB<>220<>FR<>Granite Bay, CA (Granite Bay HS)
Gabe King<>2<>99<>DL<>293<>SO<>Burlington, NC (South Eugene HS/Aiken HS)
Lucas King<>2<>10<>LB<>235<>SO<>Berkeley, CA (Berkeley HS)
Zach Kline<>2<>8<>QB<>200<>FR<>Danville, CA (San Ramon Valley HS)
Kameron Krebs<>2<>26<>FB<>235<>SR<>Sunset Beach, HI (Oregon State/Mission Viejo HS/Kahuku HS)
Kaulin Krebs<>2<>88<>WR<>188<>SR<>Sunset Beach, HI (Oregon State/Kahuku HS)
Cary Kriegsman<>2<>83<>LS<>195<>SO<>Pacific Palisades, CA (Loyola HS)
James Langford<>2<>45<>PK<>200<>JR<>Pleasanton, CA (Cal Poly/Foothill HS)
Isaac Lapite<>2<>20<>DB<>185<>SO<>Eugene, OR (Sheldon HS/South Eugene HS)
Daniel Lasco<>2<>2<>TB<>206<>RS FR<>The Woodlands, TX (The Woodlands HS)
Kenny Lawler<>2<>4<>WR<>185<>FR<>Pomona, CA (Upland HS)
Adrian Lee<>2<>15<>DB<>200<>SO<>Dallas, TX (Skyline HS)
Cole Leininger<>2<>16<>P<>200<>FR<>Fruit Cove, FL (Bartram Trail HS)
Alex Logan<>2<>6<>DB<>200<>JR<>Denver, CO (Mullen HS)
Puka Lopa<>2<>75<>DL<>230<>RS FR<>Sacramento, CA (Grant HS)
Michael Lowe<>2<>5<>DB<>210<>SO<>Hyattsville, MD (DeMatha Catholic HS)
Brandon Madueno<>2<>86<>LS<>243<>JR<>West Covina, CA (Damien HS)
Joey Mahalic<>2<>22<>QB<>220<>FR<>Portland, OR (Wilson HS)
Mike Manuel<>2<>13<>TB<>198<>SR<>Carson, CA (Golden West College/Los Alamitos HS/Carson HS)
Matt Mayes<>2<>28<>DB<>204<>SO<>Alturas, CA (Modoc HS)
Zach Maynard<>2<>15<>QB<>185<>SR<>Greensboro, NC (Buffalo/Grimsley HS)
Chris McCain<>2<>40<>LB<>225<>SO<>Greensboro, NC (Oakridge Military Academy/Northern Guilford HS)
Stefan McClure<>2<>21<>DB<>188<>SO<>Vista, CA (Vista HS)
Bryce McGovern<>2<>86<>WR<>200<>SO<>Danville, CA (Monte Vista HS)
Viliami Moala<>2<>55<>DL<>335<>SO<>Sacramento, CA (Grant HS)
Tanner Mohr<>2<>33<>FB<>235<>JR<>Davis, CA (Davis HS)
Steven Moore<>2<>64<>OL<>280<>FR<>Elk Grove, CA (Elk Grove HS)
Duke Moran<>2<>93<>LS<>215<>FR<>Menlo Park, CA (Sacred Heart Prep HS)
Jordan Morgan<>2<>29<>DB<>196<>FR<>Chandler, AZ (Blue Ridge HS/Valley Christian HS)
Steffan Mos<>2<>40<>P<>207<>SO<>San Diego, CA (Grossmont College/Clairemont HS)
Robert Mullins<>2<>37<>LB<>225<>SR<>Los Angeles, CA (Dorsey HS)
Hardy Nickerson<>2<>47<>LB<>225<>FR<>Oakland, CA (Bishop O'Dowd HS)
Bradley Northnagel<>2<>98<>LS<>225<>FR<>San Carlos, CA (Junipero Serra HS)
Christian Okafor<>2<>76<>OL<>310<>FR<>Houston, TX (Westbury HS)
Ikem Okwudiafor<>2<>26<>DB<>200<>SO<>Hayward, CA (Mission San Jose HS/St. Mary's College HS)
Kendrick Payne<>2<>96<>DL<>283<>SR<>Houston, TX (Klein Forest HS)
Nathan Phillip<>2<>39<>TE<>240<>JR<>Oakland, CA (City College of San Francisco/Bishop O'Dowd HS)
Griffin Piatt<>2<>35<>WR<>190<>FR<>Moraga, CA (Campolindo HS)
Darius Powe<>2<>10<>WR<>212<>FR<>Lakewood, CA (Lakewood HS)
Jordan Rigsbee<>2<>73<>OL<>306<>RS FR<>Chico, CA (Pleasant Valley HS)
Tyler Rigsbee<>2<>77<>OL<>290<>SR<>Chico, CA (Pleasant Valley HS)
Richard Rodgers<>2<>11<>TE<>265<>SO<>Worcester, MA (St. John's HS)
Vachel Samuels<>2<>32<>DB<>192<>JR<>Compton, CA (Lynwood HS)
Brennan Scarlett<>2<>17<>LB<>255<>SO<>Portland, OR (Central Catholic HS)
Brian Schwenke<>2<>57<>OL<>300<>SR<>Oceanside, CA (Oceanside HS)
Avery Sebastian<>2<>4<>DB<>190<>SO<>McDonough, GA (Eagle's Landing Christian HS/Union Grove HS)
John Sheperdson<>2<>69<>LS<>220<>SO<>Danville, CA (San Ramon Valley HS)
Chad Smith<>2<>14<>P<>210<>SO<>Los Angeles, CA (Loyola HS)
Isi Sofele<>2<>20<>TB<>200<>SR<>Salt Lake City, UT (Cottonwood HS)
Eric Stevens<>2<>48<>FB<>242<>SR<>San Pedro, CA (Peninsula HS)
Matt Summers-Gavin<>2<>75<>OL<>300<>SR<>San Francisco, CA (St. Ignatius HS)
Freddie Tagaloa<>2<>78<>OL<>340<>FR<>Richmond, CA (Salesian HS)
Aaron Tipoti<>2<>50<>DL<>280<>SR<>Honolulu, HI (Word of Life Academy)
Bryce Treggs<>2<>1<>WR<>175<>FR<>Inglewood, CA (St. John Bosco HS)
Bill Tyndall<>2<>79<>OL<>285<>JR<>Pacific Grove, CA (Monterey Peninsula College/Pacific Grove HS)
Jacob Wark<>2<>84<>TE<>255<>SO<>Tualatin, OR (Jesuit HS)
Cecil Whiteside<>2<>14<>LB<>229<>SO<>Newport Beach, CA (Newport Harbor HS)
Harrison Wilfley<>2<>80<>TE<>255<>JR<>Sacramento, CA (American River College/Casa Roble HS)
David Wilkerson<>2<>44<>LB<>230<>SO<>Danville, CA (Monte Vista HS)
Matt Williams<>2<>72<>OL<>300<>JR<>Liverpool, England (North Dakota St. College of Science/Proctor Acad.)
Steve Williams<>2<>1<>DB<>185<>JR<>Dallas, TX (Skyline HS)
Joel Willis<>2<>18<>DB<>188<>RS FR<>Garden Grove, CA (Pacifica HS)
Patrick Worstell<>2<>25<>WR<>175<>FR<>Danville, CA (San Ramon Valley HS)
Dasarte Yarnway<>2<>23<>FB<>220<>JR<>San Francisco, CA (Sacred Heart Cathedral HS)
Matt Adamson<>3<>68<>OL<>285<>Fr<>Murrieta, CA
Kyle Adkins<>3<>24<>RB<>195<>Fr<>Woodinville, WA
Najee Ali<>3<>43<>WR<>220<>Fr<>Rainier Beach, WA
Jeremiah Allison<>3<>8<>LB<>210<>Fr<>Los Angeles, CA
John Taylor Altomare<>3<>46<>LB<>226<>Sr<>Auburn, WA
Brent Anderson<>3<>61<>OL<>267<>So<>Kennewick, WA
Gordy Anderson<>3<>19<>TE<>236<>So<>Port Orchard, WA
Austin Apodaca<>3<>2<>QB<>180<>Fr<>Longmont, CO
Tyler Baker<>3<>26<>WR<>180<>Fr<>Bullard, TX
Robert Barber<>3<>92<>NT<>291<>Fr<>Pago Pago,
Charles Barden<>3<>75<>OL<>267<>Fr<>Boise, ID
Brett Bartolone<>3<>19<>WR<>179<>Fr<>La Habra, CA
Matthew Bock<>3<>71<>DL<>252<>Jr<>Santa Margarita, CA
Blair Bomber<>3<>89<>WR<>166<>So<>Lynden, WA
Bennett Bontemps<>3<>25<>WR<>191<>Jr<>Puyallup, WA
Elliott Bosch<>3<>60<>OL<>271<>Jr<>Spokane, WA
Michael Bowlin<>3<>46<>K<>204<>Jr<>Aliso Viejo, CA
Phillip Brandt<>3<>28<>RB<>224<>Sr<>Fresno, CA
Zach Brevick<>3<>70<>OL<>270<>Jr<>Snoqualmie, WA
Leon Brooks<>3<>23<>RB<>166<>Jr<>Harbor City, CA
Austin Brown<>3<>79<>DL<>255<>Fr<>Meridian, ID
Jesse Brown<>3<>8<>QB<>189<>Fr<>Baker City, OR
David Bucannon<>3<>32<>S<>184<>Fr<>Fairfield, CA
Deone Bucannon<>3<>20<>S<>192<>Jr<>Fairfield, CA
Jared Byers<>3<>37<>LB<>218<>So<>Pullman, WA
Teondray Caldwell<>3<>34<>RB<>189<>Fr<>Los Angeles, CA
Anthony Carpenter<>3<>4<>S<>190<>Jr<>Los Angeles, CA
