1<>down<>general<>A play, starting when the ball is put into play and ending when the ball is ruled dead<>
2<>drive<>general<>The series of plays when the offense has the football, until it punts or scores and the other team gets possession of the ball.<>
3<>field goal<>event<>A kick, worth three points<>f4nkickgoal.png
4<>fumble<>event<>The act of losing possession of the ball while running with it or being tackled.<>
5<>turnover<>event<>A loss of possession of the ball via a fumble or interception.<>
6<>incomplete pass<>general<>A pass that touches the ground before being caught or that is caught while the player is out of bounds<>
7<>interception<>event<>A pass that's caught by a defensive player, ending the offense's possession of the ball.<>
8<>kickoff<>event<>A free kick that puts the ball into play.<>
9<>punt<>general<>A kick made when a punter drops the ball and kicks it while it falls toward his foot.<>
10<>return<>general<>The act of bringing the ball back in the opposite direction after a change of possession.<>
11<>rush<>event<>To advance the ball by running, not passing<>
12<>sack<>event<>Any tackle of the quarterback behind the line of scrimmage.<>
227<>Bradley Northnagel<>player<><>
228<>Christian Okafor<>player<><>
229<>Ikem Okwudiafor<>player<><>
230<>Kendrick Payne<>player<><>
231<>Nathan Phillip<>player<><>
232<>Griffin Piatt<>player<><>
233<>Darius Powe<>player<><>
234<>Jordan Rigsbee<>player<><>
235<>Tyler Rigsbee<>player<><>
236<>Richard Rodgers<>player<><>
237<>Vachel Samuels<>player<><>
238<>Brennan Scarlett<>player<><>
239<>Brian Schwenke<>player<><>
240<>Avery Sebastian<>player<><>
241<>John Sheperdson<>player<><>
242<>Chad Smith<>player<><>
243<>Isi Sofele<>player<><>
244<>Eric Stevens<>player<><>
245<>Matt Summers-Gavin<>player<><>
246<>Freddie Tagaloa<>player<><>
247<>Aaron Tipoti<>player<><>
248<>Bryce Treggs<>player<><>
249<>Bill Tyndall<>player<><>
250<>Jacob Wark<>player<><>
251<>Cecil Whiteside<>player<><>
252<>Harrison Wilfley<>player<><>
253<>David Wilkerson<>player<><>
254<>Matt Williams<>player<><>
255<>Steve Williams<>player<><>
256<>Joel Willis<>player<><>
257<>Patrick Worstell<>player<><>
258<>Dasarte Yarnway<>player<><>
259<>C<>position<><>
260<>CB<>position<><>
261<>DB<>position<><>
262<>DE<>position<><>
263<>DT<>position<><>
264<>FS<>position<><>
265<>FB<>position<><>
266<>G<>position<><>
267<>K<>position<><>
268<>KR<>position<><>
269<>ILB<>position<><>
270<>LB<>position<><>
271<>MLB<>position<><>
272<>NT<>position<><>
273<>P<>position<><>
274<>PR<>position<><>
275<>QB<>position<><>
276<>RB<>position<><>
277<>S<>position<><>
278<>SS<>position<><>
279<>T<>position<><>
280<>TE<>position<><>
281<>WR<>position<><>
282<>OL<>position<><>
283<>DL<>position<><>
284<>faircatch<>event<>When the player returning a punt signals by waving his extended arm from side to side over his head, making it illegal for the opposition to tackle him.<>
285<>pently<>general<>Punishment for an infraction of the rules.<>
286<>Matt Adamson<>player<><>
287<>Kyle Adkins<>player<><>
288<>Najee Ali<>player<><>
289<>Jeremiah Allison<>player<><>
290<>John Taylor Altomare<>player<><>
291<>Brent Anderson<>player<><>
292<>Gordy Anderson<>player<><>
293<>Austin Apodaca<>player<><>
294<>Tyler Baker<>player<><>
295<>Robert Barber<>player<><>
296<>Charles Barden<>player<><>
297<>Brett Bartolone<>player<><>
298<>Matthew Bock<>player<><>
299<>Blair Bomber<>player<><>
300<>Bennett Bontemps<>player<><>
301<>Elliott Bosch<>player<><>
302<>Michael Bowlin<>player<><>
303<>Phillip Brandt<>player<><>
304<>Zach Brevick<>player<><>
305<>Leon Brooks<>player<><>
306<>Austin Brown<>player<><>
307<>Jesse Brown<>player<><>
308<>David Bucannon<>player<><>
309<>Deone Bucannon<>player<><>
310<>Jared Byers<>player<><>
311<>Teondray Caldwell<>player<><>
312<>Anthony Carpenter<>player<><>
313<>Moritz Christ<>player<><>
314<>Tracy Clark<>player<><>
315<>Justin Clayton<>player<><>
316<>Cody Clements<>player<><>
317<>Cyrus Coen<>player<><>
318<>Adam Coerper<>player<><>
319<>Wes Concepcion<>player<><>
320<>Xavier Cooper<>player<><>
321<>Joe Dahl<>player<><>
322<>Feddie Davey<>player<><>
323<>David Davis<>player<><>
324<>Anthony DeMatteo<>player<><>
325<>Alex Den Bleyker<>player<><>
326<>Rahmel Dockery<>player<><>
327<>Denzell Dotson<>player<><>
328<>Tyrone Duckett<>player<><>
329<>Aaron Dunn<>player<><>
330<>Henry Eaddy<>player<><>
331<>Gunnar Eklund<>player<><>
332<>Keith Ewing<>player<><>
333<>Michael Fields<>player<><>
334<>Sam Flor<>player<><>
